device_id,location_general,type,max_heartbeat_str,description,fields,notes,x,y,z,grid
050d68bf,linklab,dual_motion,100s,"46.46,20.63,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,46.46,20.63,3.1,75
5062206,linklab,light_level,30min,"54.17,20.49,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,54.17,20.49,3.1,77
018a27f4,linklab,temp_humid,15min,"54.21,18.87,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,54.21,18.87,1.1,77
1816234,linklab,contact,25min,"53.21,18.8,1.1","Contact,rssi",,53.21,18.8,1.1,77
050d6990,linklab,dual_motion,100s,"55.57,20.63,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,55.57,20.63,3.1,78
5062343,linklab,light_level,30min,"58.92,20.7,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,58.92,20.7,3.1,79
018a2ac3,linklab,temp_humid,15min,"27.91,16.56,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,27.91,16.56,1.1,89
1834259,linklab,contact,25min,"28.68,15.88,1.1","Contact,rssi",,28.68,15.88,1.1,89
018a1f05,linklab,temp_humid,15min,"47.36,15.68,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,47.36,15.68,1.1,95
018a2154,linklab,temp_humid,15min,"53.75,15.39,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,53.75,15.39,1.1,97
05060eb7,linklab,light_level,30min,"57.94,17.67,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,57.94,17.67,3.1,98
018a32d6,linklab,temp_humid,15min,"5.66,13.53,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,5.66,13.53,1.1,101
018342d6,linklab,contact,25min,"6.63,13.82,1.1","Contact,rssi",,6.63,13.82,1.1,102
018a2cd7,linklab,temp_humid,15min,"11.95,14.07,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,11.95,14.07,1.1,103
018342de,linklab,contact,25min,"12.32,14.78,1.1","Contact,rssi",,12.32,14.78,1.1,104
018a2933,linklab,temp_humid,15min,"17.3,13.48,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,17.3,13.48,1.1,105
awair-3446,linklab,awair_element,10s,"21.19,13.98,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,21.19,13.98,0.38,106
018a343d,linklab,temp_humid,15min,"22.51,15.06,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,22.51,15.06,1.1,107
05060dd8,linklab,light_level,30min,"48.61,15.04,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,48.61,15.04,3.1,115
awair-3390,linklab,awair_element,10s,"48.49,13.45,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,48.49,13.45,0.38,115
018a44b5,linklab,temp_humid,15min,"52.21,13.46,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,52.21,13.46,1.1,117
1834272,linklab,contact,25min,"52.27,14.73,1.1","Contact,rssi",,52.27,14.73,1.1,117
01939f0a,linklab,co2,15min,"57.25,13.53,1.05","Concentration_ppm,H-Sensor,Humidity_%,T-Sensor,Temperature_°C,rssi",,57.25,13.53,1.05,118
8.88E+95,linklab,motion,30min,"56.48,12.93,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,56.48,12.93,3.1,118
awair-7849,linklab,awair_element,10s,"59.16,12.87,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,59.16,12.87,0.38,119
0506dac8,linklab,light_level,30min,"2.99,11.37,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,2.99,11.37,3.1,120
018a4759,linklab,temp_humid,15min,"3.36,9.96,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,3.36,9.96,1.1,121
018a2087,linklab,temp_humid,15min,"7.76,9.96,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,7.76,9.96,1.1,122
018a3195,linklab,temp_humid,15min,"7.91,10.11,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,7.91,10.11,1.1,122
